namej;namefr
heian;paix et tranquillité
tekki;cavalier de fer
bassai;pénétrer la forteresse
kanku;regarder le ciel
empi;vol de l'hirondelle
jion;miséricorde
gankaku;grue sur un rocher
hangetsu;demi-lune
chinte;main secrète
sochin;force tranquille
meikyo;polir le miroir
gojushiho;54 pas
nijushiho;24 pas
wankan;couronne du roi
unsu;main en nuage
